nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_rock_cbow_5_10_100d,0.18,0.15,0.13,0.51,0.06,0.11,1911,0.37,0.05,0.1,1409,0.15,0.9,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_50_10_300d,0.18,0.15,0.12,0.52,0.04,0.08,1911,0.35,0.07,0.12,1409,0.15,0.91,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_cbow_50_5_300d,0.19,0.16,0.12,0.54,0.02,0.04,1911,0.33,0.11,0.17,1409,0.16,0.9,0.27,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_sg_5_10_300d,0.18,0.16,0.12,0.36,0.0,0.01,1911,0.32,0.16,0.21,1409,0.15,0.84,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_sg_50_5_300d,0.18,0.15,0.12,0.56,0.04,0.07,1911,0.33,0.07,0.12,1409,0.15,0.91,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_5_10_100d,0.19,0.16,0.12,0.61,0.01,0.02,1911,0.39,0.14,0.2,1409,0.15,0.87,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_cbow_5_10_300d,0.18,0.14,0.12,0.5,0.09,0.16,1911,1.0,0.0,0.0,1409,0.15,0.9,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_5_5_100d,0.19,0.16,0.12,0.59,0.03,0.06,1911,0.36,0.09,0.14,1409,0.16,0.91,0.27,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_50_10_100d,0.19,0.15,0.12,0.4,0.1,0.17,1911,0.21,0.0,0.01,1409,0.16,0.92,0.27,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_cbow_5_5_300d,0.18,0.15,0.12,0.44,0.03,0.06,1911,0.37,0.08,0.14,1409,0.15,0.91,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_sg_5_5_100d,0.18,0.15,0.11,0.62,0.01,0.03,1911,0.37,0.1,0.16,1409,0.15,0.91,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_rock_sg_5_10_100d,0.18,0.15,0.11,0.56,0.0,0.01,1911,0.3,0.13,0.18,1409,0.15,0.86,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_rock_sg_50_10_100d,0.18,0.15,0.11,0.0,0.0,0.0,1911,0.36,0.14,0.2,1409,0.15,0.87,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_10_100d,0.18,0.15,0.11,0.42,0.01,0.02,1911,0.32,0.12,0.18,1409,0.16,0.88,0.27,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_sg_50_10_300d,0.18,0.13,0.11,0.51,0.07,0.13,1911,0.32,0.0,0.01,1409,0.15,0.94,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_50_5_300d,0.18,0.15,0.11,0.52,0.01,0.03,1911,0.34,0.1,0.15,1409,0.15,0.89,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_fasttext_5_5_100d,0.18,0.15,0.11,0.57,0.02,0.05,1911,0.32,0.08,0.12,1409,0.16,0.95,0.27,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_fasttext_5_10_100d,0.17,0.14,0.1,0.5,0.0,0.01,1911,0.33,0.1,0.15,1409,0.15,0.9,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_cbow_5_10_100d,0.17,0.13,0.1,0.47,0.05,0.09,1911,0.25,0.02,0.04,1409,0.15,0.92,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_5_5_100d,0.17,0.12,0.1,0.46,0.07,0.12,1911,0.0,0.0,0.0,1409,0.15,0.93,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_5_10_300d,0.17,0.14,0.1,0.33,0.0,0.0,1911,0.32,0.11,0.17,1409,0.15,0.89,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_50_10_100d,0.18,0.13,0.1,0.54,0.05,0.1,1911,0.25,0.02,0.04,1409,0.16,0.96,0.27,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_sg_5_10_300d,0.17,0.14,0.1,0.46,0.01,0.02,1911,0.35,0.09,0.14,1409,0.15,0.9,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_cbow_5_10_300d,0.17,0.13,0.09,0.53,0.02,0.04,1911,0.33,0.05,0.08,1409,0.15,0.94,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_fasttext_5_10_100d,0.17,0.13,0.09,0.46,0.02,0.04,1911,0.45,0.04,0.07,1409,0.15,0.95,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_5_5_300d,0.17,0.13,0.09,0.52,0.03,0.06,1911,0.36,0.03,0.05,1409,0.15,0.97,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_50_5_100d,0.17,0.12,0.09,0.6,0.05,0.1,1911,0.27,0.0,0.01,1409,0.15,0.98,0.27,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_cbow_5_5_300d,0.18,0.13,0.09,0.59,0.06,0.11,1911,0.0,0.0,0.0,1409,0.15,0.97,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_10_100d,0.17,0.12,0.09,0.49,0.06,0.11,1911,1.0,0.0,0.0,1409,0.15,0.95,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_fasttext_50_5_100d,0.17,0.13,0.09,0.53,0.02,0.03,1911,0.32,0.06,0.1,1409,0.15,0.94,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_cbow_5_10_300d,0.17,0.13,0.09,0.4,0.0,0.0,1911,0.28,0.09,0.13,1409,0.15,0.89,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_5_5_100d,0.17,0.13,0.09,0.5,0.0,0.0,1911,0.29,0.08,0.13,1409,0.15,0.93,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_50_5_100d,0.17,0.12,0.09,0.59,0.05,0.09,1911,0.31,0.01,0.01,1409,0.15,0.98,0.27,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_sg_5_10_300d,0.17,0.13,0.09,0.64,0.0,0.01,1911,0.36,0.08,0.12,1409,0.16,0.96,0.27,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_cbow_5_10_100d,0.17,0.12,0.08,0.55,0.04,0.07,1911,0.39,0.01,0.03,1409,0.15,0.97,0.27,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_5_10_300d,0.17,0.12,0.08,0.64,0.04,0.08,1911,0.39,0.01,0.01,1409,0.15,0.98,0.27,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_fasttext_5_10_300d,0.17,0.11,0.08,0.46,0.04,0.08,1911,0.33,0.0,0.0,1409,0.15,0.96,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_50_5_300d,0.17,0.13,0.08,0.47,0.0,0.01,1911,0.34,0.06,0.1,1409,0.16,0.97,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_50_5_100d,0.17,0.12,0.08,0.67,0.03,0.06,1911,0.32,0.02,0.04,1409,0.15,0.98,0.27,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_cbow_5_5_300d,0.17,0.12,0.08,0.58,0.01,0.01,1911,0.36,0.05,0.09,1409,0.16,0.98,0.27,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_rock_cbow_5_10_100d,0.17,0.12,0.08,0.43,0.02,0.03,1911,0.42,0.04,0.07,1409,0.15,0.97,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_cbow_5_5_300d,0.16,0.11,0.07,0.78,0.01,0.02,1911,0.42,0.02,0.05,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_rock_fasttext_5_5_300d,0.16,0.11,0.07,0.67,0.03,0.05,1911,0.21,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_cbow_50_10_100d,0.16,0.11,0.07,0.66,0.02,0.04,1911,0.27,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_5_10_100d,0.16,0.11,0.07,0.69,0.02,0.03,1911,0.29,0.02,0.03,1409,0.15,0.99,0.27,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_5_5_100d,0.16,0.12,0.07,0.5,0.0,0.0,1911,0.38,0.05,0.09,1409,0.15,0.94,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_sg_50_5_100d,0.16,0.12,0.07,0.41,0.01,0.01,1911,0.34,0.04,0.08,1409,0.15,0.95,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_fasttext_50_5_100d,0.16,0.11,0.07,0.69,0.01,0.01,1911,0.36,0.03,0.06,1409,0.15,0.97,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_rock_cbow_5_5_300d,0.16,0.11,0.07,0.63,0.02,0.04,1911,0.32,0.01,0.01,1409,0.15,0.99,0.27,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_sg_5_5_100d,0.16,0.11,0.07,0.62,0.02,0.05,1911,0.3,0.01,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_fasttext_50_10_300d,0.16,0.11,0.07,0.64,0.02,0.05,1911,0.38,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_fasttext_50_5_300d,0.16,0.11,0.07,0.64,0.02,0.04,1911,0.28,0.01,0.03,1409,0.15,0.99,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_sg_50_10_100d,0.16,0.11,0.07,0.66,0.02,0.04,1911,0.26,0.01,0.02,1409,0.15,0.99,0.27,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_rock_fasttext_50_10_300d,0.16,0.11,0.07,0.59,0.02,0.05,1911,0.23,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_rock_cbow_5_10_300d,0.16,0.11,0.07,0.63,0.02,0.04,1911,0.34,0.02,0.03,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_5_10_100d,0.16,0.11,0.07,0.59,0.02,0.03,1911,0.29,0.02,0.03,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_fasttext_5_5_100d,0.16,0.11,0.07,0.62,0.03,0.05,1911,0.31,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=50,custom_rock_sg_5_5_100d,0.16,0.11,0.07,0.74,0.02,0.04,1911,0.44,0.01,0.03,1409,0.15,0.99,0.27,587,3907
gru,Embedding_out_dim = 300| GRU_units=100,custom_rock_fasttext_5_10_300d,0.16,0.11,0.07,0.63,0.02,0.04,1911,0.25,0.01,0.02,1409,0.15,0.99,0.27,587,3907
gru,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_50_5_300d,0.16,0.11,0.07,0.6,0.02,0.04,1911,0.29,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=100,custom_rock_fasttext_5_5_100d,0.16,0.11,0.07,0.69,0.02,0.04,1911,0.3,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_rock_cbow_50_10_100d,0.16,0.12,0.07,0.28,0.01,0.02,1911,0.26,0.04,0.07,1409,0.16,0.98,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_rock_sg_5_5_100d,0.16,0.11,0.07,0.61,0.02,0.04,1911,0.33,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=50,custom_rock_cbow_50_5_300d,0.16,0.11,0.07,0.72,0.02,0.04,1911,0.29,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_rock_sg_5_5_100d,0.16,0.11,0.07,0.52,0.01,0.01,1911,0.39,0.03,0.06,1409,0.15,0.96,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=100,custom_rock_sg_5_5_100d,0.16,0.11,0.07,0.79,0.01,0.03,1911,0.3,0.02,0.04,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=50,custom_rock_sg_50_10_300d,0.16,0.11,0.06,0.67,0.01,0.03,1911,0.29,0.02,0.03,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_rock_cbow_50_5_100d,0.16,0.1,0.06,0.56,0.01,0.02,1911,0.24,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=20,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.65,0.02,0.03,1911,0.4,0.0,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.63,0.02,0.05,1911,0.0,0.0,0.0,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=100,custom_rock_fasttext_50_10_100d,0.16,0.11,0.06,0.65,0.02,0.03,1911,0.23,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_50_5_300d,0.16,0.1,0.06,0.57,0.02,0.03,1911,0.33,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_sg_50_5_100d,0.16,0.1,0.06,0.69,0.02,0.03,1911,0.22,0.0,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_10_100d,0.16,0.1,0.06,0.62,0.02,0.04,1911,0.14,0.0,0.0,1409,0.15,0.99,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_cbow_50_5_300d,0.16,0.1,0.06,0.43,0.0,0.0,1911,0.34,0.02,0.04,1409,0.15,0.97,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=70,custom_rock_cbow_50_5_100d,0.16,0.1,0.06,0.63,0.02,0.04,1911,0.24,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_rock_cbow_50_5_300d,0.16,0.1,0.06,0.59,0.02,0.04,1911,0.16,0.0,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=50,custom_rock_fasttext_50_10_300d,0.16,0.1,0.06,0.58,0.02,0.03,1911,0.25,0.01,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_5_5_100d,0.16,0.1,0.06,0.6,0.01,0.02,1911,0.25,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_sg_50_5_300d,0.16,0.11,0.06,0.2,0.0,0.0,1911,0.42,0.03,0.06,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_rock_sg_5_10_300d,0.16,0.1,0.06,0.57,0.01,0.02,1911,0.43,0.01,0.02,1409,0.15,0.99,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_cbow_5_5_100d,0.16,0.1,0.06,0.6,0.0,0.0,1911,0.4,0.02,0.05,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_rock_sg_50_10_300d,0.16,0.1,0.06,0.74,0.02,0.03,1911,0.28,0.01,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=70,custom_rock_sg_50_10_300d,0.16,0.1,0.06,0.75,0.01,0.03,1911,0.38,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.68,0.01,0.02,1911,0.33,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.63,0.02,0.04,1911,0.25,0.0,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=50,custom_rock_cbow_50_5_100d,0.16,0.1,0.06,0.62,0.01,0.03,1911,0.26,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_50_5_100d,0.16,0.1,0.06,0.63,0.01,0.02,1911,0.26,0.01,0.02,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_5_100d,0.16,0.1,0.06,0.62,0.02,0.04,1911,0.26,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.44,0.02,0.04,1911,0.38,0.0,0.0,1409,0.15,0.97,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_50_10_100d,0.16,0.1,0.06,0.69,0.02,0.03,1911,0.67,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=50,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.76,0.01,0.02,1911,0.3,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=50,custom_rock_fasttext_5_10_100d,0.16,0.1,0.06,0.61,0.01,0.02,1911,0.25,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=100,custom_rock_cbow_5_10_100d,0.16,0.1,0.06,0.63,0.02,0.03,1911,0.31,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_rock_cbow_50_10_300d,0.16,0.11,0.06,0.25,0.0,0.0,1911,0.3,0.03,0.05,1409,0.15,0.99,0.27,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_10_100d,0.16,0.1,0.06,0.6,0.02,0.03,1911,0.3,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_5_10_100d,0.16,0.1,0.06,0.45,0.01,0.03,1911,0.3,0.0,0.01,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_50_5_100d,0.16,0.1,0.06,0.63,0.02,0.03,1911,0.21,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_rock_sg_5_5_300d,0.16,0.1,0.06,0.59,0.01,0.02,1911,0.31,0.01,0.03,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_sg_5_10_100d,0.16,0.1,0.06,0.69,0.01,0.02,1911,0.41,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_cbow_50_5_300d,0.16,0.1,0.06,0.61,0.02,0.04,1911,0.28,0.01,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_rock_fasttext_5_5_100d,0.16,0.1,0.06,0.66,0.01,0.03,1911,0.33,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_sg_50_5_100d,0.16,0.1,0.06,0.51,0.02,0.03,1911,0.25,0.0,0.01,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_fasttext_5_5_300d,0.16,0.1,0.06,0.63,0.02,0.05,1911,0.25,0.0,0.0,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_rock_fasttext_5_5_300d,0.16,0.1,0.06,0.58,0.02,0.04,1911,0.21,0.0,0.01,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=10,custom_rock_sg_5_10_300d,0.16,0.1,0.06,0.58,0.01,0.01,1911,0.28,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=10,custom_rock_fasttext_50_10_100d,0.16,0.1,0.06,0.71,0.02,0.05,1911,0.33,0.0,0.0,1409,0.15,0.99,0.26,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_rock_fasttext_5_5_100d,0.16,0.1,0.06,0.5,0.0,0.0,1911,0.44,0.02,0.04,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_fasttext_50_10_100d,0.16,0.1,0.06,0.64,0.02,0.04,1911,0.25,0.0,0.01,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_5_5_100d,0.16,0.1,0.06,0.57,0.02,0.03,1911,0.24,0.01,0.02,1409,0.15,0.98,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_5_100d,0.16,0.1,0.06,0.82,0.01,0.01,1911,0.27,0.02,0.03,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_cbow_5_5_300d,0.16,0.1,0.06,0.71,0.02,0.03,1911,0.32,0.01,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=10,custom_rock_fasttext_50_5_300d,0.16,0.1,0.06,0.62,0.02,0.03,1911,0.24,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_rock_fasttext_5_10_300d,0.16,0.1,0.06,0.59,0.01,0.01,1911,0.42,0.01,0.03,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_fasttext_5_5_300d,0.16,0.1,0.06,0.49,0.01,0.03,1911,0.44,0.0,0.01,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_50_5_100d,0.16,0.1,0.06,0.6,0.01,0.03,1911,0.28,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_rock_sg_50_5_300d,0.16,0.1,0.06,0.62,0.02,0.03,1911,0.41,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=10,custom_rock_sg_50_5_300d,0.16,0.1,0.05,0.59,0.01,0.03,1911,0.6,0.0,0.0,1409,0.15,0.99,0.26,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_rock_cbow_5_10_100d,0.15,0.09,0.05,0.5,0.0,0.01,1911,0.2,0.01,0.01,1409,0.15,0.98,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_5_10_300d,0.16,0.1,0.05,0.57,0.01,0.02,1911,0.24,0.0,0.01,1409,0.15,1.0,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_rock_fasttext_5_10_100d,0.16,0.1,0.05,0.84,0.01,0.02,1911,0.25,0.01,0.02,1409,0.15,0.99,0.26,587,3907
gru,Embedding_out_dim = 300| GRU_units=20,custom_rock_sg_50_10_300d,0.16,0.1,0.05,0.71,0.01,0.01,1911,0.28,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_rock_sg_50_10_100d,0.16,0.1,0.05,0.61,0.01,0.03,1911,0.14,0.0,0.0,1409,0.15,0.99,0.26,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_rock_cbow_5_10_300d,0.15,0.09,0.05,0.0,0.0,0.0,1911,0.42,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_rock_fasttext_5_5_100d,0.16,0.1,0.05,0.89,0.0,0.01,1911,0.56,0.01,0.02,1409,0.15,0.99,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_rock_sg_50_5_300d,0.16,0.1,0.05,1.0,0.0,0.0,1911,0.34,0.02,0.03,1409,0.15,0.99,0.26,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_rock_cbow_5_10_300d,0.15,0.09,0.05,0.5,0.01,0.02,1911,0.33,0.0,0.0,1409,0.15,1.0,0.26,587,3907
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_rock_sg_5_5_300d,0.15,0.09,0.05,0.79,0.01,0.01,1911,0.26,0.0,0.01,1409,0.15,1.0,0.26,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=20,custom_rock_cbow_5_10_300d,0.15,0.09,0.05,0.2,0.0,0.0,1911,0.45,0.01,0.01,1409,0.15,0.99,0.26,587,3907
