IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.077,0.026,0.101,0.041,0.032,0.204,0.5528455284552846,Tecnopop
0.078,0.026,0.107,0.041,0.031,0.211,0.568733153638814,Tecnopop
0.062,0.034,0.106,0.062,0.043,0.202,0.48792270531400966,Tecnopop
0.062,0.035,0.107,0.062,0.042,0.204,0.491566265060241,Tecnopop
0.089,0.04,0.142,0.107,0.038,0.271,0.529296875,Tecnopop
0.071,0.053,0.108,0.064,0.036,0.232,0.5087719298245614,Tecnopop
0.059,0.031,0.079,0.055,0.037,0.169,0.48563218390804597,Tecnopop
0.059,0.03,0.078,0.055,0.037,0.167,0.4812680115273775,Tecnopop
0.078,0.059,0.119,0.067,0.059,0.256,0.6684073107049608,Tecnopop
0.077,0.028,0.084,0.051,0.034,0.189,0.5235457063711911,Tecnopop
0.12,0.044,0.151,0.138,0.047,0.315,0.5105348460291734,Tecnopop
0.055,0.029,0.067,0.053,0.045,0.151,0.4855305466237942,Tecnopop
0.029,0.014,0.028,0.016,0.013,0.071,0.48299319727891155,Tecnopop
0.071,0.042,0.092,0.07,0.05,0.205,0.47674418604651164,Tecnopop
0.038,0.013,0.043,0.025,0.037,0.094,0.4017094017094017,Tecnopop
0.093,0.05,0.092,0.069,0.083,0.235,0.46078431372549017,Tecnopop
0.066,0.036,0.099,0.05,0.041,0.201,0.5261780104712042,Tecnopop
0.114,0.048,0.107,0.077,0.087,0.269,0.4678260869565217,Tecnopop
0.036,0.016,0.026,0.022,0.029,0.078,0.4105263157894737,Tecnopop
0.052,0.02,0.067,0.025,0.027,0.139,0.5110294117647058,Tecnopop
0.06,0.026,0.054,0.025,0.032,0.14,0.6635071090047393,Tecnopop
0.087,0.025,0.107,0.092,0.056,0.219,0.4630021141649049,Tecnopop
0.086,0.056,0.123,0.051,0.049,0.265,0.5452674897119342,Tecnopop
0.043,0.016,0.041,0.033,0.03,0.1,0.4694835680751174,Tecnopop
0.026,0.027,0.053,0.018,0.011,0.106,0.5096153846153846,Tecnopop
0.076,0.05,0.106,0.065,0.042,0.232,0.655367231638418,Tecnopop
0.06,0.024,0.087,0.038,0.013,0.171,0.5958188153310104,Tecnopop
0.102,0.027,0.101,0.065,0.044,0.23,0.4811715481171548,Tecnopop
0.066,0.039,0.121,0.049,0.026,0.226,0.5594059405940595,Tecnopop
0.067,0.03,0.1,0.059,0.033,0.197,0.5157068062827225,Tecnopop
0.102,0.027,0.101,0.065,0.044,0.23,0.4811715481171548,Tecnopop
0.109,0.046,0.175,0.114,0.055,0.33,0.5357142857142857,Tecnopop
0.063,0.019,0.039,0.041,0.043,0.121,0.45149253731343286,Tecnopop
0.087,0.017,0.059,0.031,0.029,0.163,0.5224358974358975,Tecnopop
0.069,0.039,0.107,0.053,0.031,0.215,0.49653579676674364,Tecnopop
0.074,0.04,0.151,0.053,0.034,0.265,0.5614406779661016,Tecnopop
0.047,0.019,0.073,0.047,0.024,0.139,0.4982078853046595,Tecnopop
0.053,0.032,0.05,0.018,0.017,0.135,0.5133079847908745,Tecnopop
0.074,0.04,0.152,0.053,0.034,0.266,0.5588235294117647,Tecnopop
0.053,0.032,0.059,0.051,0.034,0.144,0.48,Tecnopop
0.051,0.006,0.055,0.038,0.076,0.112,0.3771043771043771,Tecnopop
0.091,0.022,0.051,0.031,0.039,0.164,0.478134110787172,Tecnopop
0.046,0.023,0.056,0.039,0.026,0.125,0.4355400696864111,Tecnopop
0.081,0.038,0.09,0.08,0.051,0.209,0.4504310344827586,Tecnopop
0.105,0.035,0.113,0.035,0.091,0.253,0.501984126984127,Tecnopop
0.072,0.031,0.099,0.074,0.031,0.202,0.49876543209876545,Tecnopop
0.07,0.019,0.064,0.059,0.036,0.153,0.4622356495468278,Tecnopop
0.046,0.021,0.059,0.048,0.019,0.126,0.46494464944649444,Tecnopop
0.039,0.036,0.07,0.033,0.042,0.145,0.5123674911660777,Tecnopop
0.055,0.031,0.049,0.036,0.045,0.135,0.4470198675496689,Tecnopop
0.047,0.028,0.069,0.041,0.015,0.144,0.5373134328358209,Tecnopop
0.058,0.01,0.031,0.041,0.016,0.099,0.42857142857142855,Tecnopop
0.028,0.013,0.053,0.028,0.026,0.094,0.47474747474747475,Tecnopop
0.075,0.014,0.075,0.027,0.036,0.164,0.6612903225806451,Tecnopop
0.106,0.046,0.098,0.076,0.056,0.25,0.4798464491362764,Tecnopop
0.13,0.041,0.119,0.102,0.086,0.29,0.48986486486486486,Tecnopop
0.072,0.03,0.082,0.048,0.022,0.184,0.5242165242165242,Tecnopop
0.093,0.034,0.138,0.085,0.038,0.265,0.5028462998102466,Tecnopop
0.051,0.017,0.048,0.033,0.032,0.116,0.4496124031007752,Tecnopop
0.034,0.02,0.057,0.03,0.021,0.111,0.5606060606060606,Tecnopop
0.092,0.015,0.067,0.054,0.067,0.174,0.4264705882352941,Tecnopop
0.043,0.001,0.023,0.031,0.024,0.067,0.3489583333333333,Tecnopop
0.021,0.006,0.016,0.014,0.015,0.043,0.4174757281553398,Tecnopop
0.074,0.03,0.077,0.08,0.049,0.181,0.44471744471744473,Tecnopop
0.051,0.016,0.049,0.027,0.017,0.116,0.5321100917431193,Tecnopop
0.073,0.023,0.088,0.05,0.067,0.184,0.44660194174757284,Tecnopop
0.058,0.031,0.072,0.031,0.042,0.161,0.5494880546075085,Tecnopop
0.089,0.003,0.094,0.046,0.036,0.186,0.6058631921824105,Tecnopop
0.06,0.021,0.049,0.049,0.028,0.13,0.4304635761589404,Tecnopop
0.129,0.038,0.15,0.124,0.047,0.317,0.49300155520995337,Tecnopop
0.052,0.014,0.06,0.015,0.034,0.126,0.6237623762376238,Tecnopop
0.034,0.029,0.05,0.03,0.006,0.113,0.4956140350877193,Tecnopop
0.022,0.009,0.078,0.024,0.014,0.109,0.545,Tecnopop
0.026,0.016,0.087,0.021,0.014,0.129,0.6615384615384615,Tecnopop
0.064,0.043,0.05,0.028,0.044,0.157,0.4801223241590214,Tecnopop
0.065,0.043,0.049,0.028,0.044,0.157,0.4801223241590214,Tecnopop
0.101,0.041,0.058,0.031,0.059,0.2,0.47961630695443647,Tecnopop
0.032,0.01,0.033,0.031,0.014,0.075,0.39473684210526316,Tecnopop
0.035,0.013,0.044,0.009,0.015,0.092,0.5380116959064327,Tecnopop
0.078,0.024,0.12,0.077,0.025,0.222,0.5056947608200456,Tecnopop
0.07,0.022,0.072,0.041,0.03,0.164,0.5093167701863354,Tecnopop
0.043,0.017,0.049,0.04,0.017,0.109,0.4801762114537445,Tecnopop
0.15,0.033,0.152,0.127,0.068,0.335,0.5218068535825545,Tecnopop
0.032,0.012,0.105,0.054,0.015,0.149,0.6157024793388429,Tecnopop
0.057,0.018,0.042,0.043,0.011,0.117,0.4895397489539749,Power-Pop
0.06,0.024,0.043,0.025,0.04,0.127,0.5183673469387755,Power-Pop
0.042,0.017,0.059,0.034,0.022,0.118,0.59,Power-Pop
0.035,0.018,0.038,0.01,0.011,0.091,0.5796178343949044,Power-Pop
0.049,0.015,0.036,0.018,0.026,0.1,0.5747126436781609,Power-Pop
0.038,0.013,0.035,0.029,0.013,0.086,0.5276073619631901,Power-Pop
0.041,0.02,0.052,0.048,0.019,0.113,0.4956140350877193,Power-Pop
0.054,0.02,0.051,0.046,0.025,0.125,0.4826254826254826,Power-Pop
0.033,0.04,0.034,0.015,0.012,0.107,0.6645962732919255,Power-Pop
0.042,0.018,0.051,0.022,0.028,0.111,0.5842105263157895,Power-Pop
0.034,0.007,0.018,0.016,0.021,0.059,0.49166666666666664,Power-Pop
0.026,0.01,0.017,0.017,0.013,0.053,0.4732142857142857,Power-Pop
0.032,0.011,0.027,0.016,0.02,0.07,0.5147058823529411,Power-Pop
0.032,0.023,0.049,0.019,0.015,0.104,0.6887417218543046,Power-Pop
0.025,0.009,0.024,0.018,0.015,0.058,0.5471698113207547,Power-Pop
0.045,0.033,0.053,0.04,0.013,0.131,0.5796460176991151,Power-Pop
0.035,0.03,0.049,0.025,0.03,0.114,0.5588235294117647,Power-Pop
0.042,0.007,0.047,0.034,0.02,0.096,0.6037735849056604,Power-Pop
0.042,0.011,0.04,0.04,0.02,0.093,0.4603960396039604,Power-Pop
0.027,0.009,0.029,0.024,0.012,0.065,0.5038759689922481,Power-Pop
0.046,0.011,0.043,0.031,0.025,0.1,0.5747126436781609,Power-Pop
0.055,0.019,0.057,0.038,0.023,0.131,0.5848214285714286,Power-Pop
0.024,0.006,0.035,0.017,0.013,0.065,0.5963302752293578,Power-Pop
0.025,0.013,0.039,0.022,0.009,0.077,0.6416666666666667,Power-Pop
0.029,0.012,0.059,0.027,0.01,0.1,0.6172839506172839,Power-Pop
0.051,0.029,0.056,0.041,0.033,0.136,0.5643153526970954,Power-Pop
0.034,0.016,0.037,0.028,0.013,0.087,0.4484536082474227,Power-Pop
0.054,0.027,0.07,0.036,0.028,0.151,0.668141592920354,Power-Pop
0.053,0.021,0.051,0.034,0.024,0.125,0.5841121495327103,Power-Pop
0.032,0.025,0.046,0.029,0.014,0.103,0.6094674556213018,Power-Pop
0.033,0.011,0.048,0.034,0.007,0.092,0.6344827586206897,Power-Pop
0.03,0.011,0.037,0.02,0.021,0.078,0.4936708860759494,Power-Pop
0.044,0.014,0.042,0.035,0.004,0.1,0.6134969325153374,Power-Pop
0.037,0.013,0.049,0.033,0.005,0.099,0.6305732484076433,Power-Pop
0.022,0.014,0.047,0.029,0.015,0.083,0.6194029850746269,Power-Pop
0.041,0.014,0.032,0.028,0.022,0.087,0.5403726708074534,Power-Pop
0.04,0.02,0.033,0.027,0.014,0.093,0.5502958579881657,Power-Pop
0.042,0.013,0.02,0.011,0.028,0.075,0.6198347107438017,Power-Pop
0.046,0.012,0.007,0.016,0.022,0.065,0.5158730158730159,Power-Pop
0.028,0.01,0.032,0.018,0.013,0.07,0.5882352941176471,Power-Pop
0.04,0.024,0.042,0.034,0.022,0.106,0.5608465608465608,Power-Pop
0.018,0.01,0.03,0.021,0.009,0.058,0.5686274509803921,Power-Pop
0.027,0.021,0.045,0.022,0.013,0.093,0.62,Power-Pop
0.036,0.019,0.071,0.02,0.047,0.126,0.5060240963855421,Power-Pop
0.034,0.015,0.034,0.034,0.024,0.083,0.4585635359116022,Power-Pop
0.026,0.004,0.018,0.017,0.016,0.048,0.44036697247706424,Power-Pop
0.034,0.015,0.045,0.029,0.026,0.094,0.5696969696969697,Power-Pop
0.038,0.006,0.021,0.019,0.025,0.065,0.5508474576271186,Power-Pop
0.026,0.018,0.036,0.038,0.013,0.08,0.4878048780487805,Power-Pop
0.037,0.01,0.068,0.024,0.013,0.115,0.71875,Power-Pop
0.033,0.012,0.042,0.03,0.007,0.087,0.5958904109589042,Power-Pop
0.064,0.023,0.042,0.029,0.019,0.129,0.548936170212766,Power-Pop
0.03,0.018,0.029,0.021,0.012,0.077,0.6062992125984252,Power-Pop
0.028,0.01,0.034,0.031,0.008,0.072,0.4931506849315068,Power-Pop
0.054,0.027,0.07,0.036,0.028,0.151,0.668141592920354,Power-Pop
0.031,0.016,0.031,0.016,0.013,0.078,0.5735294117647058,Power-Pop
0.022,0.012,0.034,0.015,0.016,0.068,0.6415094339622641,Power-Pop
0.033,0.008,0.031,0.018,0.014,0.072,0.5538461538461539,Power-Pop
0.02,0.006,0.028,0.02,0.005,0.054,0.5346534653465347,Power-Pop
0.027,0.009,0.029,0.01,0.003,0.065,0.5909090909090909,Power-Pop
0.028,0.012,0.039,0.027,0.004,0.079,0.6583333333333333,Power-Pop
0.041,0.027,0.036,0.015,0.017,0.104,0.6190476190476191,Power-Pop
0.035,0.018,0.022,0.022,0.007,0.075,0.5769230769230769,Power-Pop
0.052,0.007,0.041,0.024,0.022,0.1,0.5813953488372093,Power-Pop
0.027,0.009,0.05,0.042,0.01,0.086,0.5308641975308642,Power-Pop
0.032,0.007,0.046,0.029,0.016,0.085,0.5666666666666667,Power-Pop
0.043,0.026,0.06,0.016,0.027,0.129,0.6172248803827751,Power-Pop
0.053,0.02,0.058,0.035,0.018,0.131,0.6179245283018868,Power-Pop
0.03,0.015,0.039,0.034,0.017,0.084,0.43523316062176165,Power-Pop
0.04,0.007,0.027,0.023,0.026,0.074,0.4868421052631579,Power-Pop
0.022,0.01,0.035,0.016,0.014,0.067,0.5234375,Power-Pop
0.043,0.014,0.053,0.022,0.017,0.11,0.5365853658536586,Power-Pop
0.066,0.027,0.056,0.027,0.014,0.149,0.6234309623430963,Power-Pop
0.043,0.008,0.048,0.023,0.024,0.099,0.5689655172413793,Power-Pop
0.028,0.024,0.046,0.024,0.015,0.098,0.6447368421052632,Power-Pop
0.075,0.018,0.075,0.059,0.039,0.168,0.5283018867924528,Power-Pop
0.039,0.009,0.051,0.032,0.013,0.099,0.5689655172413793,Power-Pop
0.067,0.015,0.055,0.044,0.029,0.137,0.5393700787401575,Power-Pop
0.033,0.009,0.04,0.026,0.015,0.082,0.5734265734265734,Power-Pop
0.029,0.008,0.034,0.019,0.015,0.071,0.5634920634920635,Power-Pop
0.03,0.013,0.033,0.02,0.007,0.076,0.6386554621848739,Power-Pop
0.04,0.009,0.037,0.02,0.016,0.086,0.524390243902439,Power-Pop
0.062,0.029,0.048,0.034,0.012,0.139,0.6435185185185185,Power-Pop
0.025,0.009,0.029,0.022,0.007,0.063,0.5779816513761468,Power-Pop
0.036,0.003,0.031,0.026,0.009,0.07,0.56,Power-Pop
0.04,0.023,0.068,0.03,0.008,0.131,0.7237569060773481,Power-Pop
