nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Pop Rock_precision,Pop Rock_recall,Pop Rock_f1_score,Pop Rock_samples,Power-Pop_precision,Power-Pop_recall,Power-Pop_f1_score,Power-Pop_samples,Tecnopop_precision,Tecnopop_recall,Tecnopop_f1_score,Tecnopop_samples,total_samples
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_sg_50_10_100d,0.52,0.32,0.48,0.62,0.72,0.67,1651,0.19,0.01,0.02,349,0.25,0.27,0.26,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_fasttext_5_10_300d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.33,0.0,0.01,349,0.5,0.0,0.0,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_fasttext_5_10_300d,0.51,0.33,0.48,0.64,0.75,0.69,1651,0.15,0.23,0.18,349,0.28,0.07,0.11,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_pop_fasttext_50_10_300d,0.61,0.27,0.48,0.63,0.96,0.76,1651,0.06,0.02,0.03,349,0.54,0.01,0.02,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_50_5_300d,0.62,0.27,0.48,0.62,0.98,0.76,1651,0.05,0.01,0.01,349,0.5,0.01,0.03,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_fasttext_5_5_100d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.14,0.0,0.01,349,0.0,0.0,0.0,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_cbow_5_10_300d,0.59,0.28,0.48,0.62,0.93,0.75,1651,0.13,0.07,0.09,349,0.0,0.0,0.0,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_pop_cbow_50_5_300d,0.61,0.27,0.48,0.62,0.98,0.76,1651,0.09,0.01,0.02,349,0.32,0.01,0.02,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_5_10_100d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.5,0.01,0.02,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_50_10_300d,0.59,0.28,0.48,0.62,0.93,0.75,1651,0.13,0.05,0.07,349,0.27,0.02,0.03,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_sg_5_5_300d,0.62,0.26,0.48,0.62,0.99,0.77,1651,0.09,0.0,0.01,349,0.29,0.0,0.01,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_sg_5_10_100d,0.62,0.26,0.48,0.62,0.99,0.76,1651,0.0,0.0,0.0,349,0.32,0.01,0.02,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_sg_5_10_100d,0.49,0.34,0.48,0.63,0.69,0.66,1651,0.15,0.18,0.16,349,0.26,0.18,0.21,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_fasttext_50_10_100d,0.51,0.32,0.48,0.63,0.74,0.68,1651,0.12,0.11,0.12,349,0.23,0.13,0.16,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_cbow_50_5_100d,0.51,0.33,0.48,0.63,0.75,0.68,1651,0.13,0.15,0.14,349,0.25,0.11,0.16,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_5_5_100d,0.58,0.28,0.48,0.63,0.92,0.75,1651,0.07,0.04,0.05,349,0.6,0.02,0.04,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_5_5_100d,0.6,0.27,0.48,0.62,0.94,0.75,1651,0.08,0.01,0.02,349,0.21,0.03,0.05,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_cbow_5_5_100d,0.62,0.26,0.48,0.62,0.99,0.77,1651,0.06,0.0,0.01,349,0.25,0.0,0.01,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_fasttext_5_10_100d,0.48,0.35,0.48,0.65,0.59,0.62,1651,0.19,0.08,0.11,349,0.26,0.41,0.32,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_pop_fasttext_5_5_100d,0.62,0.26,0.48,0.62,0.99,0.76,1651,0.06,0.0,0.01,349,0.33,0.01,0.02,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_cbow_5_5_300d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.09,0.0,0.01,349,0.0,0.0,0.0,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_sg_5_10_300d,0.62,0.26,0.48,0.62,0.99,0.77,1651,0.0,0.0,0.0,349,0.21,0.0,0.01,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_cbow_5_10_100d,0.52,0.33,0.48,0.62,0.76,0.68,1651,0.12,0.11,0.12,349,0.27,0.13,0.18,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_5_10_300d,0.61,0.27,0.48,0.62,0.97,0.76,1651,0.08,0.01,0.02,349,0.4,0.01,0.02,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=50,custom_pop_fasttext_50_5_100d,0.6,0.26,0.48,0.63,0.96,0.76,1651,0.05,0.02,0.03,349,0.21,0.0,0.01,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_fasttext_5_5_300d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_pop_fasttext_5_10_100d,0.61,0.27,0.48,0.62,0.97,0.76,1651,0.02,0.0,0.01,349,0.35,0.02,0.04,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_pop_cbow_50_5_300d,0.61,0.27,0.48,0.62,0.98,0.76,1651,0.07,0.01,0.02,349,0.33,0.01,0.02,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_fasttext_5_10_300d,0.57,0.29,0.48,0.62,0.89,0.73,1651,0.1,0.06,0.07,349,0.31,0.04,0.07,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_cbow_50_10_300d,0.61,0.26,0.48,0.62,0.97,0.76,1651,0.0,0.0,0.0,349,0.2,0.02,0.03,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_pop_fasttext_5_10_100d,0.61,0.27,0.48,0.63,0.96,0.76,1651,0.05,0.01,0.02,349,0.3,0.02,0.03,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_pop_sg_50_5_300d,0.61,0.26,0.48,0.62,0.98,0.76,1651,0.06,0.01,0.02,349,0.0,0.0,0.0,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_cbow_50_5_300d,0.56,0.31,0.48,0.63,0.86,0.72,1651,0.14,0.12,0.13,349,0.21,0.04,0.06,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_fasttext_5_5_300d,0.59,0.28,0.48,0.62,0.94,0.75,1651,0.11,0.05,0.07,349,0.67,0.01,0.01,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_pop_sg_50_5_300d,0.61,0.26,0.48,0.62,0.97,0.76,1651,0.03,0.01,0.01,349,0.31,0.01,0.01,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_pop_sg_5_5_300d,0.59,0.27,0.48,0.63,0.94,0.76,1651,0.04,0.02,0.03,349,0.31,0.01,0.01,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_5_5_300d,0.62,0.26,0.48,0.62,0.99,0.77,1651,0.08,0.01,0.02,349,0.0,0.0,0.0,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_pop_sg_50_10_300d,0.61,0.26,0.48,0.62,0.97,0.76,1651,0.05,0.01,0.01,349,0.29,0.01,0.01,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_cbow_50_10_100d,0.58,0.29,0.48,0.62,0.91,0.74,1651,0.1,0.03,0.04,349,0.23,0.05,0.08,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_pop_sg_50_10_300d,0.61,0.27,0.48,0.63,0.97,0.76,1651,0.03,0.01,0.01,349,0.48,0.02,0.03,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_50_10_300d,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.33,0.0,0.0,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_5_5_100d,0.62,0.26,0.48,0.62,0.99,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_sg_50_10_300d,0.46,0.34,0.47,0.62,0.6,0.61,1651,0.14,0.17,0.15,349,0.27,0.27,0.27,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_sg_5_10_100d,0.5,0.31,0.47,0.62,0.69,0.65,1651,0.1,0.03,0.05,349,0.23,0.25,0.24,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_cbow_5_5_100d,0.58,0.27,0.47,0.62,0.93,0.74,1651,0.1,0.04,0.06,349,0.19,0.01,0.01,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_fasttext_5_5_100d,0.47,0.35,0.47,0.63,0.63,0.63,1651,0.16,0.26,0.2,349,0.28,0.2,0.23,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_cbow_50_10_300d,0.48,0.34,0.47,0.63,0.63,0.63,1651,0.12,0.09,0.11,349,0.26,0.3,0.28,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_5_5_300d,0.52,0.3,0.47,0.64,0.78,0.7,1651,0.13,0.24,0.17,349,0.77,0.02,0.03,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_fasttext_50_10_100d,0.47,0.35,0.47,0.63,0.62,0.63,1651,0.15,0.28,0.19,349,0.31,0.17,0.22,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_fasttext_50_10_300d,0.52,0.32,0.47,0.63,0.77,0.69,1651,0.15,0.22,0.18,349,0.25,0.05,0.08,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_fasttext_50_5_100d,0.54,0.29,0.47,0.62,0.83,0.71,1651,0.08,0.08,0.08,349,0.29,0.04,0.08,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_fasttext_50_5_100d,0.57,0.29,0.47,0.63,0.88,0.74,1651,0.12,0.12,0.12,349,0.17,0.0,0.0,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_fasttext_50_10_100d,0.48,0.33,0.47,0.62,0.66,0.64,1651,0.1,0.12,0.11,349,0.28,0.21,0.24,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_cbow_50_10_300d,0.5,0.31,0.47,0.62,0.73,0.67,1651,0.08,0.04,0.06,349,0.21,0.17,0.19,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_sg_50_10_100d,0.54,0.29,0.47,0.62,0.83,0.71,1651,0.13,0.16,0.14,349,0.45,0.01,0.02,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_50_5_300d,0.48,0.32,0.47,0.61,0.67,0.64,1651,0.11,0.08,0.09,349,0.24,0.22,0.23,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_fasttext_50_5_300d,0.46,0.33,0.47,0.63,0.63,0.63,1651,0.13,0.19,0.15,349,0.25,0.19,0.22,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_sg_50_10_100d,0.49,0.32,0.47,0.62,0.71,0.66,1651,0.13,0.17,0.15,349,0.22,0.11,0.14,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_cbow_5_5_300d,0.48,0.32,0.47,0.63,0.63,0.63,1651,0.09,0.01,0.02,349,0.25,0.35,0.29,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_sg_5_10_300d,0.49,0.32,0.47,0.61,0.69,0.65,1651,0.11,0.04,0.06,349,0.24,0.25,0.24,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_50_5_300d,0.55,0.3,0.47,0.62,0.84,0.71,1651,0.16,0.17,0.16,349,0.21,0.02,0.03,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_cbow_5_5_100d,0.46,0.34,0.47,0.63,0.6,0.61,1651,0.14,0.12,0.13,349,0.25,0.31,0.27,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_cbow_5_5_100d,0.53,0.29,0.46,0.62,0.8,0.7,1651,0.14,0.21,0.17,349,0.0,0.0,0.0,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_sg_50_10_300d,0.48,0.3,0.46,0.61,0.67,0.64,1651,0.13,0.02,0.04,349,0.22,0.26,0.24,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_fasttext_50_5_300d,0.48,0.32,0.46,0.61,0.68,0.65,1651,0.15,0.18,0.16,349,0.2,0.12,0.15,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_fasttext_50_10_100d,0.52,0.29,0.46,0.62,0.8,0.7,1651,0.12,0.16,0.14,349,0.2,0.02,0.04,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_cbow_50_10_100d,0.48,0.32,0.46,0.62,0.62,0.62,1651,0.08,0.01,0.02,349,0.26,0.38,0.31,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_sg_50_5_300d,0.46,0.33,0.46,0.63,0.61,0.62,1651,0.13,0.17,0.15,349,0.24,0.23,0.23,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_50_10_100d,0.5,0.3,0.46,0.63,0.74,0.68,1651,0.13,0.23,0.17,349,0.34,0.04,0.06,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_50_5_100d,0.45,0.34,0.46,0.63,0.59,0.61,1651,0.14,0.34,0.2,349,0.38,0.14,0.2,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_50_10_300d,0.48,0.31,0.46,0.61,0.68,0.64,1651,0.1,0.05,0.07,349,0.22,0.22,0.22,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_cbow_5_10_100d,0.53,0.27,0.46,0.62,0.83,0.71,1651,0.09,0.11,0.1,349,0.14,0.0,0.0,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_pop_sg_5_10_100d,0.49,0.3,0.46,0.62,0.73,0.67,1651,0.11,0.19,0.14,349,0.24,0.05,0.08,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_fasttext_50_10_100d,0.51,0.29,0.46,0.63,0.78,0.7,1651,0.11,0.17,0.13,349,0.22,0.03,0.05,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_fasttext_5_10_100d,0.48,0.32,0.46,0.62,0.68,0.65,1651,0.15,0.22,0.18,349,0.19,0.09,0.12,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_fasttext_50_10_300d,0.46,0.34,0.46,0.62,0.59,0.61,1651,0.13,0.16,0.15,349,0.27,0.26,0.27,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_sg_5_5_100d,0.45,0.34,0.46,0.63,0.57,0.6,1651,0.16,0.26,0.2,349,0.25,0.22,0.23,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_fasttext_5_5_100d,0.44,0.34,0.46,0.64,0.57,0.6,1651,0.15,0.29,0.2,349,0.27,0.2,0.23,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_5_5_100d,0.5,0.3,0.46,0.63,0.74,0.68,1651,0.12,0.21,0.15,349,0.25,0.04,0.07,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_50_5_100d,0.52,0.3,0.46,0.63,0.79,0.7,1651,0.15,0.25,0.18,349,0.0,0.0,0.0,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_sg_50_10_300d,0.45,0.34,0.46,0.63,0.56,0.59,1651,0.14,0.17,0.15,349,0.27,0.31,0.29,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_fasttext_5_5_100d,0.52,0.3,0.46,0.63,0.78,0.7,1651,0.14,0.23,0.17,349,0.3,0.01,0.02,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_cbow_5_10_100d,0.45,0.31,0.45,0.62,0.58,0.6,1651,0.06,0.02,0.03,349,0.24,0.37,0.29,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_sg_50_10_300d,0.47,0.31,0.45,0.62,0.67,0.64,1651,0.11,0.19,0.14,349,0.27,0.1,0.15,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_cbow_5_5_100d,0.52,0.28,0.45,0.62,0.8,0.7,1651,0.1,0.14,0.12,349,0.23,0.0,0.01,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_sg_5_10_300d,0.5,0.29,0.45,0.61,0.76,0.68,1651,0.13,0.22,0.16,349,0.36,0.01,0.02,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=10,custom_pop_fasttext_50_10_100d,0.43,0.32,0.45,0.64,0.56,0.6,1651,0.09,0.16,0.12,349,0.26,0.23,0.24,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_50_10_100d,0.44,0.33,0.45,0.62,0.59,0.61,1651,0.13,0.16,0.15,349,0.22,0.23,0.22,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_5_5_300d,0.46,0.3,0.45,0.62,0.67,0.64,1651,0.12,0.22,0.15,349,0.22,0.07,0.11,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_fasttext_5_5_300d,0.43,0.34,0.45,0.64,0.55,0.59,1651,0.15,0.39,0.21,349,0.34,0.15,0.21,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_cbow_5_5_100d,0.52,0.26,0.45,0.63,0.81,0.71,1651,0.06,0.09,0.08,349,0.44,0.01,0.01,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_50_5_300d,0.49,0.3,0.45,0.63,0.72,0.67,1651,0.14,0.3,0.19,349,0.56,0.02,0.03,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_cbow_5_10_100d,0.43,0.33,0.45,0.63,0.55,0.59,1651,0.14,0.24,0.18,349,0.25,0.22,0.23,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_sg_5_5_100d,0.49,0.29,0.45,0.62,0.74,0.67,1651,0.13,0.25,0.17,349,0.4,0.01,0.02,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_sg_50_10_300d,0.45,0.32,0.45,0.61,0.6,0.61,1651,0.13,0.17,0.14,349,0.23,0.2,0.21,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=4,custom_pop_fasttext_50_5_300d,0.49,0.29,0.45,0.62,0.73,0.67,1651,0.13,0.24,0.17,349,0.28,0.02,0.05,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_sg_50_5_300d,0.48,0.3,0.45,0.62,0.71,0.66,1651,0.12,0.22,0.15,349,0.24,0.04,0.08,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_fasttext_50_5_100d,0.49,0.3,0.45,0.62,0.72,0.67,1651,0.13,0.22,0.16,349,0.25,0.05,0.08,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_cbow_5_5_300d,0.43,0.34,0.45,0.64,0.55,0.59,1651,0.13,0.28,0.18,349,0.29,0.21,0.24,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_fasttext_5_10_100d,0.49,0.29,0.45,0.62,0.74,0.67,1651,0.12,0.19,0.15,349,0.19,0.03,0.05,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_fasttext_50_10_100d,0.43,0.31,0.44,0.62,0.54,0.58,1651,0.13,0.06,0.08,349,0.22,0.36,0.28,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_cbow_5_5_100d,0.42,0.33,0.44,0.65,0.5,0.56,1651,0.13,0.15,0.14,349,0.25,0.38,0.3,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_sg_50_10_300d,0.45,0.32,0.44,0.62,0.53,0.57,1651,0.11,0.03,0.05,349,0.26,0.46,0.33,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_fasttext_50_10_300d,0.47,0.29,0.44,0.61,0.7,0.65,1651,0.11,0.19,0.14,349,0.22,0.05,0.08,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_cbow_50_5_300d,0.42,0.33,0.44,0.64,0.52,0.58,1651,0.13,0.29,0.18,349,0.27,0.21,0.24,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_fasttext_50_5_100d,0.42,0.32,0.44,0.63,0.54,0.58,1651,0.11,0.21,0.14,349,0.25,0.21,0.22,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_sg_50_10_300d,0.45,0.31,0.44,0.62,0.62,0.62,1651,0.13,0.29,0.18,349,0.24,0.08,0.13,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_sg_50_5_300d,0.41,0.32,0.44,0.62,0.52,0.57,1651,0.12,0.19,0.15,349,0.25,0.27,0.26,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_pop_cbow_5_5_300d,0.49,0.28,0.44,0.63,0.73,0.67,1651,0.12,0.25,0.16,349,0.0,0.0,0.0,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_fasttext_5_10_100d,0.48,0.29,0.44,0.62,0.71,0.66,1651,0.11,0.24,0.16,349,0.42,0.02,0.04,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_50_5_100d,0.43,0.32,0.44,0.61,0.59,0.6,1651,0.11,0.23,0.15,349,0.28,0.15,0.19,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_5_10_300d,0.44,0.31,0.44,0.62,0.54,0.57,1651,0.1,0.03,0.05,349,0.23,0.4,0.29,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_cbow_50_10_300d,0.43,0.32,0.44,0.64,0.56,0.6,1651,0.14,0.4,0.2,349,0.34,0.11,0.16,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_cbow_50_5_100d,0.42,0.33,0.44,0.65,0.55,0.6,1651,0.14,0.39,0.2,349,0.33,0.13,0.19,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_sg_50_10_300d,0.45,0.31,0.44,0.62,0.55,0.58,1651,0.11,0.04,0.06,349,0.25,0.41,0.31,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=10,custom_pop_fasttext_50_5_100d,0.45,0.31,0.44,0.62,0.53,0.57,1651,0.07,0.01,0.02,349,0.26,0.48,0.34,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_cbow_50_10_300d,0.42,0.31,0.44,0.63,0.53,0.57,1651,0.1,0.08,0.09,349,0.23,0.34,0.27,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_pop_sg_50_10_100d,0.44,0.32,0.44,0.63,0.6,0.62,1651,0.15,0.38,0.21,349,0.29,0.08,0.12,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_50_10_100d,0.43,0.31,0.43,0.63,0.5,0.56,1651,0.11,0.04,0.06,349,0.25,0.47,0.33,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_5_5_300d,0.41,0.32,0.43,0.62,0.52,0.56,1651,0.1,0.17,0.13,349,0.26,0.26,0.26,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_cbow_50_10_100d,0.41,0.34,0.43,0.65,0.46,0.54,1651,0.14,0.22,0.18,349,0.26,0.37,0.3,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_cbow_5_5_300d,0.43,0.32,0.43,0.64,0.48,0.55,1651,0.12,0.03,0.05,349,0.26,0.52,0.34,651,2651
